Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Prestholdt, Jeremy",HIAF 111 - Modern Africa Since 1880 (A),WI09,80,63,96.8 %,92.1 %,3.83,B+ (3.59),B (3.29)
"Watts, Edward J.",HIEU 102 - Roman History (A),WI17,110,38,97.3 %,86.5 %,4.61,B (3.29),B (3.30)
"Biess, Frank Peter",HIEU 154 - Mod German/Bismarck to Hitler (A),SP15,96,71,95.8 %,97.2 %,5.66,B+ (3.48),B (3.30)
"Widener, Daniel",HILA 122 - Cuba:Frm Colony-Socialist Repb (A),FA13,50,22,95.5 %,95.5 %,3.68,B+ (3.61),B (3.30)
"Henry, Todd A.",HILD 12 - Twentieth-Century East Asia (A),SP12,83,32,90.3 %,87.1 %,4.89,B+ (3.68),B (3.30)
"Patterson, Patrick H.",HIEU 152 - Everyday Life/Dictatorial Soc (A),FA09,61,44,95.5 %,100.0 %,6.73,B+ (3.64),B (3.30)
"Shah, Nayan B",HIUS 115 - Hist. of Sexuality in the U.S. (A),SP09,100,59,81.8 %,87.3 %,5.38,B (3.15),B (3.30)
"Truant, Cynthia M",HIEU 130 - Europe/18th Century(1688-1789) (A),FA08,73,49,88.9 %,82.6 %,3.96,B+ (3.61),B (3.30)
"Hughes, Judith M.",HIEU 141 - Eur Diplomatic Hist 1870-1945 (A),FA10,36,17,94.1 %,88.2 %,8.15,B (3.25),B- (2.70)
"Schneewind, Sarah",HILD 10 - East Asia: The Great Tradition (A),FA17,158,103,66.0 %,77.0 %,6.54,B- (2.97),B- (2.72)
"Hughes, Judith M.",HIEU 141 - Eur Diplomatic Hist 1870-1945 (A),SP12,32,14,78.6 %,78.6 %,4.93,B (3.11),B- (2.72)
"Monteon, Michael P.",HILA 120 - History of Argentina (A),FA11,58,18,94.4 %,94.1 %,6.94,B+ (3.56),B- (2.72)
"Tanaka, Stefan A.",HIEA 114 - Postwar Japan (A),SP10,71,32,96.9 %,96.9 %,4.19,B (3.24),B- (2.72)
"Hughes, Judith M.",HIEU 141 - Eur Diplomatic Hist 1870-1945 (A),FA09,43,23,87.0 %,87.0 %,5.37,B+ (3.35),B- (2.72)
"Wilson, Rai I.",HIUS 139 - African Amrcn Hist/the 20th C. (A),WI08,72,46,100.0 %,97.8 %,2.46,B+ (3.58),B- (2.72)
"Goodblatt, David",HINE 108 - The Middle East Before Islam (B),WI11,40,13,84.6 %,69.2 %,3.67,B+ (3.33),B- (2.73)
"Van Young, Eric",HILA 131 - History of Mexico:1821-1924 (A),WI09,84,65,96.9 %,92.2 %,5.03,B+ (3.32),B- (2.73)
"Hughes, Judith M.",HIEU 141 - Eur Diplomatic Hist 1870-1945 (A),SP08,43,38,97.3 %,94.4 %,4.61,B (3.26),B- (2.73)
"Parrish, Michael E.",HIUS 150 - American Legal History to 1865 (A),FA16,51,22,68.2 %,77.3 %,4.98,B+ (3.38),B- (2.74)
"Alvarez, Luis A",HIUS 155 - Zoot Suit-HipHop:Race-Pop Cult (A),WI12,140,56,78.6 %,85.7 %,5.11,B+ (3.34),B- (2.74)
"Belknap, Michal R",HIUS 150 - American Legal History to 1865 (A),SP10,52,30,82.8 %,69.0 %,4.97,B+ (3.42),B- (2.75)
"Parrish, Michael E.",HIUS 155A - Religion&Law:Fndtns to Cvl War (A),FA09,63,52,89.4 %,97.9 %,3.94,B+ (3.46),B- (2.75)
"Parrish, Michael E.",HIUS 155B - Religion&Law:Cvl War to Presnt (A),SP08,61,35,97.1 %,100.0 %,4.27,B+ (3.35),B- (2.75)
"Belknap, Michal R",HIUS 153 - American Political Trials (A),SP12,43,13,53.8 %,61.5 %,5.73,B (3.09),B- (2.76)
"Lu, Weijing",HIEA 137 - Women & Family/Chinese History (A),WI11,63,35,94.3 %,76.5 %,4.09,B (3.21),B- (2.76)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),SP10,54,27,84.6 %,76.9 %,4.65,B+ (3.43),B- (2.76)
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",WI08,39,22,81.8 %,81.8 %,4.14,B+ (3.39),B- (2.76)
"Propp, William Henry",HINE 101 - The Religion of Ancient Israel (A),WI12,32,16,68.8 %,87.5 %,6.88,B+ (3.38),B- (2.77)
"Hughes, Judith M.",HIEU 136B - Society/Soc Thought 1870-1989 (A),FA11,22,10,80.0 %,80.0 %,6.3,B+ (3.56),B- (2.77)
"Gallant, Thomas W.",HIEU 116A - Greece & the Balkans/1683-1914 (A),FA10,67,27,85.2 %,96.3 %,6.13,B (3.20),B- (2.77)
"Gallant, Thomas W.",HIEU 116B - Greece & the Balkans/1683-1914 (A),FA10,67,27,85.2 %,96.3 %,6.13,B (3.20),B- (2.77)
"Gallant, Thomas W.",HIEU 117A - Greece & the Balkans/1683-1914 (A),FA10,67,27,85.2 %,96.3 %,6.13,B (3.20),B- (2.77)
"Caciola, Nancy A",HIEU 115 - The Pursuit of the Millenium (A),WI08,30,26,96.2 %,100.0 %,3.65,B+ (3.50),B- (2.77)
"Pickowicz, Paul G.",HIEA 132 - Hist/People's Republic/China (A),WI10,96,36,91.7 %,88.6 %,8.11,B+ (3.33),B- (2.78)
"Parrish, Michael E.",HIUS 155A - Religion&Law:Fndtns to Cvl War (A),WI08,44,23,86.4 %,95.5 %,4.21,B+ (3.48),B- (2.78)
"Hughes, Judith M.",HIEU 141 - Eur Diplomatic Hist 1870-1945 (A),WI16,22,6,100.0 %,83.3 %,5.5,B+ (3.50),B- (2.79)
"Lu, Weijing",HIEA 138 - Women & the Chinese Revolution (A),SP15,21,10,88.9 %,88.9 %,5.83,B+ (3.57),B- (2.79)
"Belknap, Michal R",HIUS 151 - American Legal History 1865-P (A),WI12,61,26,80.8 %,73.1 %,6.19,B+ (3.43),B- (2.79)
"Widener, Daniel",HILD 7A - Race & Ethnicity/United States (A),FA10,357,189,76.1 %,90.4 %,5.98,B (3.19),B- (2.79)
"Belknap, Michal R",HIUS 153 - American Political Trials (A),SP08,34,17,88.2 %,94.1 %,4.26,B+ (3.35),B- (2.79)
"Belknap, Michal R",HIUS 151 - American Legal History 1865-P (A),WI08,52,36,74.3 %,51.4 %,4.67,B (3.27),B- (2.79)
"Lu, Weijing","HILD 11 - East Asia & the West,1279-1911 (A)",WI17,162,55,85.5 %,63.6 %,5.1,B (3.22),B- (2.80)
"Chodorow, Stanley A.",HIEU 124GS - The City In Italy (A),S114,23,3,100.0 %,100.0 %,7.83,C+ (2.67),B- (2.80)
"Gallant, Thomas W.",HIEU 116B - Greece/Balkans/Age/Nationalism (A),WI14,68,21,100.0 %,100.0 %,5.26,B (3.29),B- (2.80)
"Pickowicz, Paul G.",HIEA 132 - Hist/People's Republic/China (A),WI08,111,73,100.0 %,100.0 %,5.82,B+ (3.42),B- (2.80)
"Monteon, Michael P.",HILA 114 - Dictatorships in Latin America (A),FA17,47,18,77.8 %,77.8 %,6.17,B (3.07),B- (2.81)
"Widener, Daniel",HIUS 139 - African Amrcn Hist/the 20th C. (A),FA13,47,16,75.0 %,87.5 %,4.13,B (3.08),B- (2.81)
"Parrish, Michael E.",HIUS 155A - Religion&Law:Fndtns to Cvl War (A),WI12,40,24,83.3 %,91.7 %,6.08,B+ (3.53),B- (2.81)
"Gallant, Thomas W.",HIEU 116A - Greece & the Balkans/1683-1914 (A),SP10,74,31,93.5 %,96.8 %,3.92,B+ (3.41),B- (2.81)
"Gallant, Thomas W.",HIEU 116B - Greece & the Balkans/1683-1914 (A),SP10,74,31,93.5 %,96.8 %,3.92,B+ (3.41),B- (2.81)
"Gallant, Thomas W.",HIEU 117A - Greece & the Balkans/1683-1914 (A),SP10,74,31,93.5 %,96.8 %,3.92,B+ (3.41),B- (2.81)
"Alvarez, Luis A",HIUS 155 - Zoot Suit-HipHop:Race-Pop Cult (A),FA09,137,90,90.9 %,95.5 %,4.02,B+ (3.39),B- (2.81)
"Goodblatt, David",HINE 102 - The Jews/Their Homelnd/Antiqty (A),FA08,46,35,91.4 %,97.1 %,4.03,B+ (3.42),B- (2.81)
"Shragge, Abraham Joseph",HIUS 147 - History of the American Suburb (A),SP09,65,36,94.1 %,97.1 %,4.39,B+ (3.52),B- (2.82)
"Lu, Weijing",HIEA 137 - Women & Family/Chinese History (A),WI15,46,20,73.7 %,78.9 %,4.5,B+ (3.53),B- (2.83)
"Murillo, Dana V.",HILA 134 - Indians Colonial Latin America (A),WI14,14,3,100.0 %,100.0 %,11.17,B (3.00),B- (2.83)
"Lu, Weijing",HIEA 137 - Women & Family/Chinese History (A),FA12,67,25,77.3 %,72.7 %,5.32,B (3.18),B- (2.83)
"Schneewind, Sarah",HIEA 129 - Faces of the Chinese Past (A),SP11,35,23,100.0 %,100.0 %,8.41,B (3.15),B- (2.83)
"Hunefeldt, Christine",HILA 100 - LatAmer-Colonial Transformatns (A),FA08,42,29,86.2 %,89.7 %,3.88,B (3.24),B- (2.83)
"Lu, Weijing",HIEA 138 - Women & the Chinese Revolution (A),SP11,61,27,88.9 %,77.8 %,5.39,B (3.19),B- (2.84)
"Gallant, Thomas W.",HIEU 116B - Greece & the Balkans/1914-2001 (A),SP11,65,26,100.0 %,100.0 %,3.42,B+ (3.48),B- (2.84)
"Gallant, Thomas W.",HIEU 116C - Greece & the Balkans/1914-2001 (A),SP11,65,26,100.0 %,100.0 %,3.42,B+ (3.48),B- (2.84)
"Gallant, Thomas W.",HIEU 116CD - Greece & the Balkans/1914-2001 (A),SP11,65,26,100.0 %,100.0 %,3.42,B+ (3.48),B- (2.84)
"Gallant, Thomas W.",HIEU 117B - Greece & the Balkans/1914-2001 (A),SP11,65,26,100.0 %,100.0 %,3.42,B+ (3.48),B- (2.84)
"Kinzley, Judd C.",HIEA 130 - End of Chin Empire/1800-1911 (A),WI11,53,30,96.6 %,100.0 %,3.5,B+ (3.48),B- (2.84)
"Gheissari, Ali",HINE 126 - Iranian Revolutn Hist Perspctv (B),FA13,40,16,100.0 %,93.8 %,6.25,B+ (3.60),B- (2.85)
"Ringrose, Kathryn M",HIEU 104 - Byzantine Empire (A),SP11,71,27,74.1 %,66.7 %,4.5,B+ (3.48),B- (2.85)
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),WI11,23,3,100.0 %,100.0 %,3.83,N/A,B- (2.85)
"Gutierrez, David G",HIUS 159 - Social&Econ Hist/Southwest II (A),FA08,44,29,79.3 %,96.6 %,4.16,B (3.12),B- (2.85)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),WI12,33,17,76.5 %,76.5 %,4.5,B (3.21),B- (2.86)
"Nebel, Grant Eugene",HIUS 141 - Economic Hist/United States II (A),SP09,116,59,98.3 %,96.6 %,4.57,N/A,B- (2.86)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),FA12,32,9,77.8 %,88.9 %,2.94,B (3.20),B- (2.87)
"Parrish, Michael E.",HIUS 153 - American Political Trials (A),S211,29,10,80.0 %,100.0 %,5.1,B (3.22),B- (2.87)
"Belknap, Michal R",HIUS 151 - American Legal History 1865-P (A),SP13,41,12,90.9 %,81.8 %,4.68,B (3.18),B- (2.88)
"Cahill, Suzanne",HIEA 136 - Thought/Reli China: Daoism (A),S212,22,8,87.5 %,100.0 %,7,A- (3.75),B- (2.88)
"Miano, David Ringo",HIEU 112S - Ancient Explorers (A),S112,30,7,85.7 %,100.0 %,5.07,B+ (3.57),B- (2.88)
"Cahill, Suzanne",HIEA 137 - Women & Family/Chinese History (A),S211,41,14,78.6 %,85.7 %,6.5,B+ (3.33),B- (2.88)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),S211,21,7,85.7 %,71.4 %,6.5,B+ (3.60),B- (2.88)
"Parrish, Michael E.",HIUS 153 - American Political Trials (A),WI11,49,24,91.7 %,91.7 %,5,B+ (3.60),B- (2.88)
"Widener, Daniel",HIUS 114 - California History (A),S113,26,7,100.0 %,100.0 %,5.17,B (3.00),B- (2.89)
"Gallant, Thomas W.",HIEU 116CD - Greece/Balkans/20th Century (A),SP12,51,20,100.0 %,100.0 %,5.4,A- (3.79),B- (2.89)
"Van Young, Eric",HILA 101 - Lat Amer Independnce 1810-1898 (A),WI11,41,20,85.0 %,100.0 %,6.5,B (3.16),B- (2.89)
"Goodblatt, David",HINE 102 - The Jews/Their Homelnd/Antiqty (A),FA10,57,23,82.6 %,82.6 %,5.98,B+ (3.40),B- (2.89)
"Schneewind, Sarah",HILD 10 - East Asia: The Great Tradition (A),FA09,147,75,69.3 %,78.7 %,4.72,B (3.26),B- (2.89)
"Parrish, Michael E.",HIUS 150 - American Legal History to 1865 (A),FA17,34,11,80.0 %,80.0 %,4.7,B (3.25),B- (2.90)
"Hendrickson, Gerald M.",HIUS 141 - Economic Hist/United States II (A),FA15,37,8,100.0 %,100.0 %,6.21,B+ (3.67),B- (2.90)
"Westman, Robert S",HISC 110 - Hist. Encounters/Sci.&Religion (A),SP15,47,13,53.8 %,38.5 %,5.17,B (3.00),B- (2.90)
"Edwards, Cutler C",HILD 2C - United States History (A),S111,23,9,88.9 %,77.8 %,4.94,B+ (3.60),B- (2.90)
"Gosin, Monika N.",HIUS 135B - Slavery and the Atlantic World (A),SP09,38,18,100.0 %,88.9 %,4.06,N/A,B- (2.90)
"Demetriou, Denise",HIEU 101 - Greece in the Classical Age (A),WI16,48,24,95.2 %,100.0 %,5.17,B+ (3.40),B- (2.91)
"Gutierrez, David G",HIUS 113 - History of Mexican America (A),WI14,45,14,57.1 %,71.4 %,3.79,B+ (3.33),B- (2.91)
"Hughes, Judith M.",HIEU 150 - Modern British History (A),WI11,20,11,90.9 %,90.0 %,7.41,B+ (3.56),B- (2.91)
"Henry, Todd A.",HILD 12 - Twentieth-Century East Asia (A),SP10,189,92,75.6 %,77.5 %,5.27,B (3.21),B- (2.91)
"Van Young, Eric",HILA 100 - LatAmer-Colonial Transformatns (A),FA09,57,42,94.6 %,100.0 %,4.7,B+ (3.38),B- (2.91)
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),SP09,58,31,89.3 %,85.7 %,2.37,B (3.28),B- (2.91)
"Hughes, Judith M.",HIEU 150 - Modern British History (A),FA14,27,9,100.0 %,87.5 %,6,B+ (3.38),B- (2.92)
"Depies, Gregory J",HIEA 112 - Japan:Mid-19th C.-US Occupatn (A),WI14,64,30,90.0 %,93.3 %,5.7,B+ (3.31),B- (2.92)
"Wilson, Rai I.",HIUS 152B - Constitutnl Hist/US after 1865 (A),SP11,44,17,94.1 %,100.0 %,4.03,B+ (3.38),B- (2.92)
"Hull, Dryden Wode",HIEU 120 - The Renaissance in Italy (A),SP09,49,40,75.0 %,70.0 %,3.65,B+ (3.37),B- (2.92)
"Nebel, Grant Eugene",HIUS 140 - Economic Hist/United States I (A),FA07,120,66,90.9 %,98.5 %,4.59,B+ (3.35),B- (2.92)
"Cahill, Suzanne",HIEA 126 - The Silk Road (A),S214,21,2,100.0 %,100.0 %,7.5,B+ (3.50),B- (2.93)
"Depies, Gregory J",HIEA 114 - Postwar Japan (A),SP14,59,25,92.0 %,92.0 %,5.17,B+ (3.32),B- (2.93)
"Miano, David Ringo",HIEU 108S - Sex & Romance/ Ancient World (B),S212,32,12,83.3 %,91.7 %,6.67,B (3.25),B- (2.93)
"Van Young, Eric",HILA 113 - Lord&Peasant in Latin America (A),SP12,44,18,83.3 %,94.1 %,7.56,B (3.17),B- (2.93)
"Parrish, Michael E.",HIUS 155B - Religion&Law:Cvl War to Presnt (A),SP12,47,19,94.7 %,100.0 %,6.71,B (3.20),B- (2.93)
"Shapiro, Michael","HILD 11 - East Asia & the West,1279-1911 (A)",WI11,128,61,63.9 %,62.3 %,5.65,B+ (3.30),B- (2.93)
"Schneewind, Sarah",HILD 10 - East Asia: The Great Tradition (A),FA10,104,51,84.3 %,84.3 %,6.3,B (3.23),B- (2.93)
"Lu, Weijing",HIEA 137 - Women & Family/Chinese History (A),WI17,47,24,87.5 %,83.3 %,5.17,B+ (3.35),B- (2.94)
"Hughes, Judith M.",HIEU 150 - Modern British History (A),FA15,23,12,66.7 %,50.0 %,9.33,B (3.20),B- (2.94)
"O'Keefe, Amy Merrill",HIEA 131 - China/War & Revolution 1911-49 (A),S115,23,9,100.0 %,88.9 %,8.94,B+ (3.38),B- (2.94)
"Goodblatt, David",HINE 108 - The Middle East Before Islam (A),FA13,39,12,81.8 %,100.0 %,4.68,B+ (3.36),B- (2.94)
"Greene, Margaret C",HIEA 138 - Women & the Chinese Revolution (A),WI12,29,15,66.7 %,64.3 %,6.81,B (3.15),B- (2.94)
"Hendrickson, Gerald M.",HIUS 141 - Economic Hist/United States II (A),FA11,49,26,100.0 %,100.0 %,5.5,B+ (3.43),B- (2.94)
"Hendrickson, Gerald M.",HIUS 141 - Economic Hist/United States II (A),FA11,80,30,79.3 %,96.6 %,5.05,B (3.15),B- (2.94)
"Fujitani, Takashi",HIEA 113 - Fifteen Yr War/Asia & Pacific (A),WI08,134,75,89.0 %,87.5 %,4.13,B+ (3.37),B- (2.94)
"Parrish, Michael E.",HIUS 150 - American Legal History to 1865 (A),FA15,32,11,81.8 %,81.8 %,4.5,B+ (3.38),B- (2.95)
"Van Young, Eric",HILA 131 - History of Mexico:1821-1924 (A),WI14,63,29,92.9 %,89.3 %,4.94,B+ (3.30),B- (2.95)
"Parrish, Michael E.",HIUS 111 - America & World/WWI-Present (A),SP13,49,17,94.1 %,94.1 %,5.25,B- (2.93),B- (2.95)
"Depies, Gregory J",HIEA 115 - Social&Cultural/20th C Japan (A),SP12,70,27,66.7 %,63.0 %,4.87,B+ (3.38),B- (2.95)
"Hendrickson, Gerald M.",HIUS 141 - Economic Hist/United States II (A),SP10,137,64,96.9 %,96.9 %,4.88,B+ (3.51),B- (2.95)
"Fujitani, Takashi",HIEA 111 - Japan:Twelfth - Mid-Nineteen C (A),SP09,104,76,75.7 %,77.0 %,4.24,B+ (3.31),B- (2.95)
"Henry, Todd A.","HIEA 151 - The Two Koreas, 1945-Prsent (A)",SP16,51,22,100.0 %,95.5 %,4.95,B (3.22),B- (2.96)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),WI15,46,16,93.8 %,87.5 %,4.63,B (3.11),B- (2.96)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),WI14,46,15,86.7 %,86.7 %,2.93,B (3.11),B- (2.96)
"Gallant, Thomas W.",HIEU 116A - Greece/Balkans/Age/Ottoman (A),FA13,71,29,100.0 %,100.0 %,4.71,B+ (3.50),B- (2.96)
"Widener, Daniel",HIUS 122 - History & Hollywood (A),S111,30,9,88.9 %,100.0 %,5.61,A- (3.71),B- (2.96)
"Henry, Todd A.","HIEA 150 - Modern Korea, 1800-1945 (A)",WI10,45,22,100.0 %,95.5 %,7.32,B+ (3.40),B- (2.96)
"Esherick, Joseph W","HILD 11 - East Asia & the West,1279-1911 (A)",WI09,203,102,76.8 %,84.8 %,4.15,B (3.25),B- (2.96)
"Strasser, Ulrike",HIEU 139 - Sex and Gender 1500-1800 (A),FA17,52,46,91.3 %,97.8 %,4.2,B+ (3.44),B- (2.97)
"Shapiro, Michael",HIEA 115 - Social&Cultural/20th C Japan (A),WI11,116,49,93.8 %,89.6 %,5.13,B (3.28),B- (2.97)
"Meade, Everard",HILA 131 - History of Mexico:1821-1924 (A),WI10,78,32,78.1 %,90.6 %,5.75,B (3.24),B- (2.97)
"Belknap, Michal R",HIUS 151 - American Legal History 1865-P (A),WI10,52,20,90.0 %,75.0 %,6.3,B+ (3.40),B- (2.97)
"Shah, Nayan B",HILD 7B - Race & Ethnicity/United States (A),WI08,278,133,70.5 %,79.7 %,3.61,B+ (3.32),B- (2.97)
"Lu, Weijing",HIEA 137 - Women & Family/Chinese History (A),FA07,57,49,89.4 %,80.4 %,3.39,B+ (3.67),B- (2.97)
"Hanna, Mark G.",HILD 2A - United States History (A),FA07,165,114,80.4 %,89.3 %,4.18,B (3.27),B- (2.97)
"Alvarez, Luis A",HIUS 155 - Zoot Suit-HipHop:Race-Pop Cult (A),FA07,128,104,88.2 %,89.3 %,3.77,B (3.24),B- (2.97)
"Schneewind, Sarah",HIEA 129 - Faces of the Chinese Past (A),SP15,20,16,100.0 %,87.5 %,8.25,B (3.23),B- (2.98)
"Nelson, Kristopher",HIUS 151 - American Legal History 1865-P (A),WI15,41,7,85.7 %,85.7 %,4.5,B+ (3.43),B- (2.98)
"Falk, Edward Allaire",HINE 116 - Mid East/Age of Euro Empires (A),WI14,26,19,94.7 %,94.7 %,4.08,B+ (3.56),B- (2.98)
"Parrish, Michael E.",HILD 2C - United States History (A),SP10,136,56,90.9 %,88.9 %,4.13,B+ (3.43),B- (2.98)
"Propp, William Henry",HINE 113 - Ancient Near Eastern Mythology (A),WI10,31,9,77.8 %,100.0 %,3.83,A- (3.71),B- (2.98)
"Fujitani, Takashi",HIEA 112 - Japan:Mid-19th C.-US Occupatn (A),FA09,111,68,89.4 %,89.4 %,3.93,B+ (3.34),B- (2.98)
"Westman, Robert S",HISC 106 - The Scientific Revolution (A),WI17,33,19,72.2 %,83.3 %,4.5,B (3.11),B- (2.99)
"Caciola, Nancy A",HIEU 111 - Europe in the Middle Ages (A),FA14,43,18,85.7 %,85.7 %,4.07,B (3.00),B- (2.99)
"Hughes, Judith M.",HIEU 141 - Eur Diplomatic Hist 1870-1945 (A),SP14,21,9,88.9 %,88.9 %,6.06,B (3.14),B- (2.99)
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",SP12,64,27,74.1 %,70.4 %,5.31,B (3.24),B- (2.99)
"Gallant, Thomas W.",HIEU 116B - Greece/Balkans/Age/Nationalism (A),WI12,62,23,100.0 %,100.0 %,4.41,B+ (3.63),B- (2.99)
"Clark, William",HISC 111 - The Atomic Bomb&the Atomic Age (A),FA10,110,58,100.0 %,94.6 %,2.71,A- (3.75),B- (2.99)
"Tanaka, Stefan A.",HITO 126 - A History of Childhood (A),SP09,46,33,72.7 %,78.8 %,4.2,B (3.20),B- (2.99)
"Belknap, Michal R",HIUS 151 - American Legal History 1865-P (A),SP09,68,37,59.5 %,73.0 %,4.77,B+ (3.31),B- (2.99)
"Gutierrez, David G",HILD 7C - Race & Ethnicity/United States (A),SP08,279,106,78.2 %,84.2 %,4.23,B+ (3.41),B- (2.99)
"Kinzley, Judd C.",HIEA 113 - Fifteen Yr War/Asia & Pacific (A),SP12,72,33,97.0 %,97.0 %,5.35,B+ (3.36),B- (3.00)
"Frolich, Margrit Luise",HIEU 143 - Europn Intellct Hst(1870-1945) (A),WI17,48,19,88.9 %,83.3 %,5.28,B+ (3.69),B+ (3.30)
"Wishon, Mark T",HILD 2A - United States History (A),FA16,186,91,90.9 %,97.7 %,4.27,B+ (3.46),B+ (3.30)
"Biess, Frank Peter",HIEU 128 - Europe since 1945 (A),SP16,71,62,96.8 %,96.8 %,5.47,B+ (3.31),B+ (3.30)
"Vitz, Matthew",HILA 102 - Latin America/Twentieth Centry (A),WI16,53,27,81.5 %,85.2 %,4.06,B+ (3.50),B+ (3.30)
"Davis, Andrea R","HIEU 146 - Fascism,Communism 1919-1945 (A)",SP15,65,21,90.0 %,80.0 %,4.39,B+ (3.61),B+ (3.30)
"Sine, Elizabeth E","HIUS 114B - California Hist., 1850-Present (A)",SP15,35,30,76.7 %,80.0 %,5.1,B (3.26),B+ (3.30)
"Baum, Emily L",HIEA 131 - China/War & Revolution 1911-49 (A),SP13,51,19,88.2 %,94.1 %,4.85,B (3.21),B+ (3.30)
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),WI13,30,12,83.3 %,83.3 %,6,B+ (3.67),B+ (3.30)
"Diner, Hasia R.",HIUS 118 - American Jewish History (A),SP12,26,10,90.0 %,100.0 %,4.7,B+ (3.38),B+ (3.30)
"Cahill, Suzanne",HIEA 128 - History/Material Culture China (A),WI12,63,25,92.0 %,100.0 %,4.82,B+ (3.54),B+ (3.30)
"Gutierrez, David G",HIUS 159 - Social&Econ Hist/Southwest II (A),WI12,35,10,90.0 %,90.0 %,4.9,B+ (3.50),B+ (3.30)
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),SP11,27,6,75.0 %,75.0 %,7.3,N/A,B+ (3.30)
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),FA10,29,4,100.0 %,100.0 %,4.5,N/A,B+ (3.30)
"Hunefeldt, Christine",HILA 101 - Lat Amer Independnce 1810-1898 (A),WI10,38,10,90.0 %,90.0 %,4.3,B+ (3.50),B+ (3.30)
"Gutierrez, David G",HIUS 159 - Social&Econ Hist/Southwest II (A),WI10,46,19,94.7 %,94.7 %,4.08,B+ (3.46),B+ (3.30)
"Cahill, Suzanne",HIEA 126 - The Silk Road (A),SP09,56,40,97.5 %,100.0 %,4.2,B+ (3.61),B+ (3.30)
"Hertz, Deborah",HIEU 145 - The Holocaust as Public Histry (A),WI09,48,28,78.6 %,82.1 %,5.93,B+ (3.37),B+ (3.30)
"Esherick, Joseph W",HIEA 130 - End of Chin Empire/1800-1911 (A),SP08,72,50,89.8 %,97.9 %,4.54,B+ (3.56),B+ (3.30)
"Kayali, Hasan",HINE 116 - Mid East/Age of Euro Empires (A),WI17,25,12,100.0 %,100.0 %,8.5,A- (3.80),B+ (3.31)
"Plant, Rebecca Jo",HIUS 112 - The U.S. Civil War (A),WI17,46,14,100.0 %,100.0 %,5.5,A- (3.92),B+ (3.31)
"Edington, Claire Ellen",HIEU 137 - New Imperialsm to Decoloniztn (A),SP16,52,20,94.4 %,100.0 %,4.61,B+ (3.44),B+ (3.31)
"Gheissari, Ali",HINE 126 - Iranian Revolutn Hist Perspctv (A),SP15,38,17,82.4 %,88.2 %,5.44,B+ (3.38),B+ (3.31)
"Hertz, Deborah",HIEU 158 - Why Hitler? How Auschwitz? (A),SP12,120,43,97.6 %,88.1 %,6.4,B+ (3.37),B+ (3.31)
"Hillman, Susanne",HIEU 171 - Topic/Twentieth Century Europe (A),WI12,24,9,88.9 %,100.0 %,9.83,B+ (3.33),B+ (3.31)
"Hunefeldt, Christine",HILA 100 - LatAmer-Colonial Transformatns (A),FA11,43,19,94.7 %,84.2 %,6.5,A- (3.76),B+ (3.31)
"Hendrickson, Gerald M.",HIUS 141 - Economic Hist/United States II (A),SP11,140,48,93.8 %,100.0 %,4.71,N/A,B+ (3.31)
"Hertz, Deborah",HIEU 132 - Germany From Luther to Bismark (A),WI11,53,19,78.9 %,89.5 %,6.29,B+ (3.56),B+ (3.31)
"Miano, David Ringo",HIEU 101 - Greece in the Classical Age (A),FA08,133,93,97.8 %,96.7 %,3.83,B+ (3.69),B+ (3.31)
"Edelman, Robert S.",HIEU 127 - Sport in the Modern World (A),FA17,62,19,72.2 %,72.2 %,2.94,B+ (3.38),B+ (3.32)
"Pickowicz, Paul G.",HIEA 132 - Hist/People's Republic/China (A),FA15,93,43,97.6 %,97.6 %,7.62,A- (3.74),B+ (3.32)
"Klein, Rachel",HILD 2B - United States History (A),WI14,188,103,84.8 %,94.9 %,4.05,B+ (3.51),B+ (3.32)
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),S113,20,1,100.0 %,100.0 %,0.5,A (4.00),B+ (3.32)
"Klein, Rachel",HIUS 131 - Cultural Hist/1865-1917 (A),SP13,99,26,88.5 %,88.5 %,4.34,B+ (3.45),B+ (3.32)
"Frolich, Margrit Luise",HIEU 154 - Mod German/Bismarck to Hitler (A),WI13,58,29,96.6 %,82.8 %,5.12,A- (3.72),B+ (3.32)
"Miano, David Ringo",HINE 107 - Ancient Egypt:History& Culture (A),FA12,80,40,97.2 %,100.0 %,4.11,A- (3.79),B+ (3.32)
"Cahill, Suzanne",HIEA 126 - The Silk Road (A),S112,30,5,100.0 %,100.0 %,7.3,B+ (3.50),B+ (3.32)
